,Rank,Title,Released,Rating,Genres,Description
198,199,The Third Man,1949,8.1,"['Film-Noir', 'Mystery', 'Thriller']","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
199,200,Le Salaire De La Peur,1953,8.2,"['Adventure', 'Drama', 'Thriller']","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
200,201,Sherlock Jr,1924,8.2,"['Action', 'Comedy', 'Romance']","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
201,202,"Monsters, Inc",2001,8.1,"['Animation', 'Adventure', 'Comedy']","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ... Read all"
202,203,Jaws,1975,8.1,"['Adventure', 'Mystery', 'Thriller']","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
203,204,Mr,1939,8.1,"['Comedy', 'Drama']","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries... Read all"
204,205,How to Train Your Dragon,2010,8.1,"['Animation', 'Action', 'Adventure']","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
205,206,Mary and Max,2009,8.1,"['Animation', 'Comedy', 'Drama']","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y... Read all"
206,207,Ford v,2019,8.1,"['Action', 'Biography', 'Drama']",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2... Read all
207,208,Det Sjunde Inseglet,1957,8.1,"['Drama', 'Fantasy']",Drama
208,209,Ratatouille,2007,8.1,"['Animation', 'Adventure', 'Comedy']",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
209,210,Room,2015,8.1,"['Drama', 'Thriller']","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
